Year,Stunting_National_Point_Estimate,Wasting_National_Point_Estimate,Overweight_National_Point_Estimate
2013,40.4,4,5.3
2018,38.2,1.6,4.1
2000,17.3,0.7,15.7
2005,17.9,2.6,11.4
2010,20.9,2,16.5
2016,9.4,1.7,13.7
2000,24.2,4.1,6.2
2006,26.5,2.2,13.9
2011,16.4,2.9,10.4
2013,17.8,1.1,14.1
2000,51.1,2.5,0.9
2001,53.2,2.3,0.9
2002,51.4,2.1,1
2003,47.8,2.1,1
2004,50.5,3.5,0.9
2005,45.9,1.9,1
2005,45.9,2.9,1
2005,46.2,1.9,1
2005,46.2,2.9,1
2006,45.1,1.6,0.8
2007,43.2,2.9,1.1
2011,41.3,4.1,1.9
2011,41.3,4.1,1.7
2011,41.3,3.8,1.9
2011,41.3,3.8,1.7
2011,44.9,4.1,1.9
2011,44.9,4.1,1.7
2011,44.9,3.8,1.9
2011,44.9,3.8,1.7
2013,42,1.6,1.6
2013,42,1.6,2.6
2013,42,4.9,1.6
2013,42,4.9,2.6
2013,38.7,1.6,1.6
2013,38.7,1.6,2.6
2013,38.7,4.9,1.6
2013,38.7,4.9,2.6
2014,36.2,3.2,1.6
2015,32.7,4.3,1.4
2018,30.9,1.5,2.2
2019,26.2,1.8,2.1
2019,26.2,1.8,2.4
2019,26.2,2.3,2.1
2019,26.2,2.3,2.4
2019,28,1.8,2.1
2019,28,1.8,2.4
2019,28,2.3,2.1
2019,28,2.3,2.4
2008,34.9,1.4,5.4
2010,33.5,2,7.6
2009,19.7,0.4,8.3
2000,49,7.5,4
2005,42.8,1.8,1.6
2008,39.5,1.9,2
2010,39.8,2.7,1.9
2014,32.4,2.5,2.2
2021,21.9,2.4,4.1
2000,17.8,0.5,3.4
2002,21.8,0.8,9.2
2005,11.7,0.8,5.9
2008,9.8,0.6,5.8
2009,9,0.7,5.7
2010,9.4,0.7,6.6
2002,44.7,3.5,0.9
2009,32.4,0.5,0
2017,19.1,0.5,2.3
2005,14.6,1.1,20.8
2009,11.8,0.3,19.8
2018,5.8,0.1,6
2006,47.8,6.8,1.9
2015,37.9,7.7,2.4
2017,34.7,4.9,1.6
2020,35.5,7.5,3.5
2000,42.3,0.9,1.5
2001,41.6,0.8,1.5
2004,28.6,5.1,5.1
2007,40.1,6.8,11.2
2010,39.2,5.4,12.3
2013,36.4,6.7,11.5
2018,30.8,3.5,8
2017,4.8,0.9,2.9
2000,28.1,2.4,5.5
2006,27.5,2.7,15
2011,22.1,2.7,11.4
2018,12.6,0.9,6.1
2010,7.1,0.2,1.5
2002,11.7,0.8,4.5
2009,8.2,0.2,6.6
2012,7.8,0.7,4.7
2019,7.4,0.3,9.2
2006,17.5,2.3,16.9
2010,13.1,1.7,13.3
2015,8,1.1,9.3
2001,4,0.4,11
2002,3.6,0.5,6.6
2003,3.9,0.7,6.8
2004,4.1,1.1,7.1
2005,4.5,1,7.5
2006,4.6,0.6,8.7
2007,5.1,0.8,8.5
2008,5.1,0.5,9.3
2009,3.8,0.3,9
2010,4.1,0.6,7.8
2011,4,0.4,8.3
2012,4.3,0.6,9.5
2013,4.8,0.7,7.8
2014,5.8,0.6,8.7
2015,5.2,0.7,7.5
2016,6.3,0.5,9.3
2017,5.8,0.7,9.1
2018,7.5,0.9,11.9
2019,6,0.8,9.8
2020,6.4,0.8,12.1
2006,18.1,1,10.7
2009,22.6,0.1,4.4
2012,17.9,1.3,8.9
2014,12.9,0.8,7
2018,11.8,0.7,6.9
2000,47.5,7.5,2.7
2006,47.7,1.7,1.3
2011,44.2,1.4,2
2015,35.5,2.4,2.5
2017,33.1,3,3.5
2021,7,0.3,4.6
2006,17.5,4.7,5.8
2015,17.7,2.8,7.1
2019,21.8,3.6,5.2
2001,31.9,3.5,3.9
2009,19,2.7,6.2
2017,15.3,2,4.9
2000,29.8,3,12.7
2004,23.5,0.1,6.1
2005,27.5,1.1,14.2
2010,15.5,0.5,6.7
2010,15.5,0.5,10.9
2010,15.5,0.7,6.7
2010,15.5,0.7,10.9
2010,15.3,0.5,6.7
2010,15.3,0.5,10.9
2010,15.3,0.7,6.7
2010,15.3,0.7,10.9
2013,10.8,0.4,10.5
2016,7.3,0.4,11.7
2018,9.4,0.3,10.5
2000,40.8,2.9,2.4
2003,42.7,3.7,6.9
2009,35.1,2.1,2.6
2016,29.4,1.3,1.5
2018,26.7,0.9,0.8
2001,56.1,2.8,0.7
2006,49.1,2.7,0.6
2011,40.1,2.9,1.5
2014,37.1,3.2,2.1
2016,37.2,2.6,0.9
2016,37.2,2.6,1.2
2016,37.2,1.9,0.9
2016,37.2,1.9,1.2
2016,36.1,2.6,0.9
2016,36.1,2.6,1.2
2016,36.1,1.9,0.9
2016,36.1,1.9,1.2
2019,31.5,2.9,2.6
2022,24.8,0.9,1.3
2009,9.8,0.8,1.7
2014,14.1,2.4,4.4
2017,11.4,3.1,4.2
2001,41.4,5.8,4.8
2011,43.6,5.8,6.6
2013,45,3.3,4.8
2018,37.6,2.4,2.5
2003,33.8,1.6,2.4
2008,32,1.7,2.8
2011,33.4,2,3.7
2013,30,2.4,4.5
2015,33.1,1.6,3.3
2003,2.5,0.2,6.2
2011,1.3,0.1,8
2014,1.6,0,5.1
2017,2.3,0,4.3
2020,0.9,0,6.2
2004,9.3,4.5,6.1
2015,13.7,1.4,12.8
2016,17.1,1,14.3
2017,17.2,1.8,12.1
2018,11.6,1.1,11.3
2019,13.2,1,12.6
2020,10.8,1.3,11.6
2000,4.5,0.5,2.5
2000,18.3,2.2,1.2
2007,18.1,3.1,1.7
2009,19.2,1.9,0.8
2012,14.6,3,0.6
2016,17.3,3.1,2
2000,10.7,0.7,8.3
2002,11.4,0.7,4.8
2004,10.5,1.4,8.8
2006,13.6,0.7,11.4
2010,10.9,1,5.3
2014,7.4,0.3,8.2
2020,8.7,0.6,8.6
2001,31.7,5.3,19.7
2006,28.7,4.8,18.7
2010,27.9,5.5,17.9
2005,33.1,3.5,6.8
2007,39.3,3,12
2009,28.8,1.3,4.2
2012,26.9,4.1,6.7
2016,19.6,1.2,3.7
2017,17.5,1.8,3.3
2006,15.7,1.4,8
2012,16.4,2.2,10.9
2016,10.5,1.4,8.2
2019,13.4,2.7,9.2
2002,55.7,4.9,5.7
2007,57.2,4.5,1.5
2009,57.5,7.6,5.8
2013,51.7,2.1,1.6
2020,46.7,1.5,1.3
2000,27.2,3.1,8.1
2006,18.9,2.1,4.5
2015,11.5,1.1,5.9
2019,7.2,1.1,3.1
2002,24.9,3.9,11
2006,19.6,1.6,12.2
2017,10.8,0.3,4.6
2021,6.5,1.1,4.5
2000,42.1,2.7,2.3
2000,42.1,2.7,2.6
2000,42.1,1,2.3
2000,42.1,1,2.6
2000,43.2,2.7,2.3
2000,43.2,2.7,2.6
2000,43.2,1,2.3
2000,43.2,1,2.6
2002,37.5,2.4,2.6
2003,35.4,2.7,2.2
2004,33.7,2.8,2.7
2005,33.3,2.8,2.6
2006,31.7,2.4,3.1
2007,31.7,2.4,2.9
2008,30.8,2.4,3
2009,29.3,3.8,5.6
2010,22.7,1.2,4.5
2013,25.9,1.3,4.6
2014,24.9,4.8,3.5
2015,24.6,1.4,5.3
2017,23.8,1.2,5.9
2018,23.2,1.1,7.1
2019,22.4,1,7.4
2020,19.6,1,7.9
2020,19.5,1,7.9
2003,57.3,6.4,4.9
2005,57,4.4,6.3
2011,46.6,3.4,1.5
2013,46.4,5.4,2.5